time,.data
2020/02/28/11:00:07.393708,0.0
2020/02/28/11:00:07.426585,0.0
2020/02/28/11:00:07.460010,0.0
2020/02/28/11:00:07.494200,0.0
2020/02/28/11:00:07.527246,0.0
2020/02/28/11:00:07.560192,0.0
2020/02/28/11:00:07.594064,0.0
2020/02/28/11:00:07.626921,0.0
2020/02/28/11:00:07.660535,0.0
2020/02/28/11:00:07.693220,0.0
2020/02/28/11:00:07.727100,0.0
2020/02/28/11:00:07.761256,0.0
2020/02/28/11:00:07.794632,0.0
2020/02/28/11:00:07.827174,0.0
2020/02/28/11:00:07.860480,0.0
2020/02/28/11:00:07.893834,0.0
2020/02/28/11:00:07.927662,0.0
2020/02/28/11:00:07.960528,0.0
2020/02/28/11:00:07.993376,0.0
2020/02/28/11:00:08.027224,0.0
2020/02/28/11:00:08.060225,0.0
2020/02/28/11:00:08.094163,0.0
2020/02/28/11:00:08.127359,0.0
2020/02/28/11:00:08.160982,0.0
2020/02/28/11:00:08.194053,0.0
2020/02/28/11:00:08.227792,0.0
2020/02/28/11:00:08.260578,0.0
2020/02/28/11:00:08.293577,0.0
2020/02/28/11:00:08.327596,0.0
2020/02/28/11:00:08.361048,0.0
2020/02/28/11:00:08.394913,0.0
2020/02/28/11:00:08.428149,0.0
2020/02/28/11:00:08.461082,0.0
2020/02/28/11:00:08.495380,0.0
2020/02/28/11:00:08.528124,0.0
2020/02/28/11:00:08.561671,0.0
2020/02/28/11:00:08.595865,0.0
2020/02/28/11:00:08.628565,0.0
2020/02/28/11:00:08.662443,0.0
2020/02/28/11:00:08.695059,0.0
2020/02/28/11:00:08.729077,0.0
2020/02/28/11:00:08.761836,0.0
2020/02/28/11:00:08.795274,0.0
2020/02/28/11:00:08.829221,0.0
2020/02/28/11:00:08.862281,0.0
2020/02/28/11:00:08.895500,0.0
2020/02/28/11:00:08.928407,0.0
2020/02/28/11:00:08.962075,0.0
2020/02/28/11:00:08.995105,0.0
2020/02/28/11:00:09.028637,0.0
2020/02/28/11:00:09.062367,0.0
2020/02/28/11:00:09.095814,0.0
2020/02/28/11:00:09.129759,0.0
2020/02/28/11:00:09.162497,0.0
2020/02/28/11:00:09.196106,0.0
2020/02/28/11:00:09.230309,0.0
2020/02/28/11:00:09.263975,0.0
2020/02/28/11:00:09.297063,0.0
2020/02/28/11:00:09.330723,0.0
2020/02/28/11:00:09.364272,0.0
2020/02/28/11:00:09.396947,0.0
2020/02/28/11:00:09.429528,0.0
2020/02/28/11:00:09.463272,0.0
2020/02/28/11:00:09.496139,0.0
2020/02/28/11:00:09.530447,0.0
2020/02/28/11:00:09.563029,0.0
2020/02/28/11:00:09.596962,0.0
2020/02/28/11:00:09.630156,0.0
2020/02/28/11:00:09.664281,0.0
2020/02/28/11:00:09.697002,0.0
2020/02/28/11:00:09.730531,0.0
2020/02/28/11:00:09.763795,0.0
2020/02/28/11:00:09.796565,0.0
2020/02/28/11:00:09.830986,0.0
2020/02/28/11:00:09.863433,0.0
2020/02/28/11:00:09.897167,0.0
2020/02/28/11:00:09.930796,0.0
2020/02/28/11:00:09.963879,0.0
2020/02/28/11:00:09.997715,0.0
2020/02/28/11:00:10.031045,0.0
2020/02/28/11:00:10.064355,0.0
2020/02/28/11:00:10.097522,0.0
2020/02/28/11:00:10.130353,0.0
2020/02/28/11:00:10.163636,0.0
2020/02/28/11:00:10.197633,0.0
2020/02/28/11:00:10.230583,0.0
2020/02/28/11:00:10.264744,0.0
2020/02/28/11:00:10.297266,0.0
2020/02/28/11:00:10.331068,0.0
2020/02/28/11:00:10.363814,0.0
2020/02/28/11:00:10.398131,0.0
2020/02/28/11:00:10.430552,0.0
2020/02/28/11:00:10.464744,0.0
2020/02/28/11:00:10.497972,0.0
2020/02/28/11:00:10.530513,0.0
2020/02/28/11:00:10.564328,0.0
2020/02/28/11:00:10.597275,0.0
2020/02/28/11:00:10.631224,0.0
2020/02/28/11:00:10.664950,0.0
2020/02/28/11:00:10.698117,0.0
2020/02/28/11:00:10.731676,0.0
2020/02/28/11:00:10.764667,0.0
2020/02/28/11:00:10.798624,0.0
2020/02/28/11:00:10.832373,0.0
2020/02/28/11:00:10.866026,0.0
2020/02/28/11:00:10.898063,0.0
2020/02/28/11:00:10.931110,0.0
2020/02/28/11:00:10.964418,0.0
2020/02/28/11:00:10.998462,0.0
2020/02/28/11:00:11.030991,0.0
2020/02/28/11:00:11.064487,0.0
2020/02/28/11:00:11.098394,0.0
2020/02/28/11:00:11.131597,0.0
2020/02/28/11:00:11.164839,0.0
2020/02/28/11:00:11.198645,0.0
2020/02/28/11:00:11.231193,0.0
2020/02/28/11:00:11.265400,0.0
2020/02/28/11:00:11.297873,0.0
2020/02/28/11:00:11.331898,0.0
2020/02/28/11:00:11.364859,0.0
2020/02/28/11:00:11.397781,0.0
2020/02/28/11:00:11.430997,0.0
2020/02/28/11:00:11.464340,0.0
2020/02/28/11:00:11.498413,0.0
2020/02/28/11:00:11.532400,0.0
2020/02/28/11:00:11.565093,0.0
2020/02/28/11:00:11.598026,0.0
2020/02/28/11:00:11.631844,0.0
2020/02/28/11:00:11.664683,0.0
2020/02/28/11:00:11.698312,0.0
2020/02/28/11:00:11.732408,0.0
2020/02/28/11:00:11.765160,0.0
2020/02/28/11:00:11.798883,0.0
2020/02/28/11:00:11.831961,0.0
2020/02/28/11:00:11.865649,0.0
2020/02/28/11:00:11.898507,0.0
