time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.gps_time,.Mag.x,.Mag.y,.Mag.z,.Accel.x,.Accel.y,.Accel.z,.Gyro.x,.Gyro.y,.Gyro.z,.Temp,.Pressure
2020/02/28/11:00:07.265969,356,1582909207,265889101,vectornav,1266944425.21,0.0,0.0,0.0,-0.0962559953332,0.229998111725,-9.79278659821,-0.000411933287978,-0.00136490981095,-0.000905940309167,0.0,0.0
2020/02/28/11:00:07.287023,357,1582909207,286943902,vectornav,1266944425.23,0.0,0.0,0.0,-0.0637423321605,0.263252586126,-9.78736782074,0.000210632686503,-0.000310843111947,-0.000525638461113,0.0,0.0
2020/02/28/11:00:07.306911,358,1582909207,306868464,vectornav,1266944425.25,0.0,0.0,0.0,-0.106081657112,0.24708417058,-9.78814697266,-0.00105929956771,0.000757954316214,0.000741070136428,0.0,0.0
2020/02/28/11:00:07.325887,359,1582909207,325843267,vectornav,1266944425.27,0.0,0.0,0.0,-0.0704339891672,0.248393461108,-9.76233959198,-0.00149311195128,-0.000928288558498,0.000409114174545,0.0,0.0
2020/02/28/11:00:07.347028,360,1582909207,346979521,vectornav,1266944425.29,0.0,0.0,0.0,-0.107689298689,0.254487752914,-9.77328014374,-0.000759070040658,-0.00105927581899,-0.000224171206355,0.0,0.0
2020/02/28/11:00:07.366883,361,1582909207,366850408,vectornav,1266944425.31,0.0,0.0,0.0,-0.0947562530637,0.276861965656,-9.81514358521,-0.000784596602898,-0.000335106393322,0.00122117437422,0.0,0.0
2020/02/28/11:00:07.387021,362,1582909207,386901937,vectornav,1266944425.33,0.0,0.0,0.0,-0.0913050100207,0.276826828718,-9.79440593719,-0.00053602468688,-0.000562627566978,-0.000346573069692,0.0,0.0
2020/02/28/11:00:07.406905,363,1582909207,406847301,vectornav,1266944425.35,0.0,0.0,0.0,-0.107298187912,0.286280721426,-9.80298805237,-0.001321644173,0.000485063530505,0.000704685226083,0.0,0.0
2020/02/28/11:00:07.426868,364,1582909207,426808318,vectornav,1266944425.37,0.0,0.0,0.0,-0.0876231119037,0.274039387703,-9.80485057831,-0.000202110270038,0.000296598067507,-0.000139132142067,0.0,0.0
2020/02/28/11:00:07.446855,365,1582909207,446800664,vectornav,1266944425.39,0.0,0.0,0.0,-0.108980678022,0.290506273508,-9.77747535706,0.000297907972708,8.16921237856e-05,0.000104088336229,0.0,0.0
2020/02/28/11:00:07.466906,366,1582909207,466821887,vectornav,1266944425.41,0.0,0.0,0.0,-0.102316178381,0.274534463882,-9.81032466888,-0.000977737829089,-0.00156787177548,-0.000827578827739,0.0,0.0
2020/02/28/11:00:07.486972,367,1582909207,486876326,vectornav,1266944425.43,0.0,0.0,0.0,-0.11087552458,0.265194326639,-9.76544284821,0.000672361755278,0.000352865085006,0.000174371525645,0.0,0.0
2020/02/28/11:00:07.506824,368,1582909207,506775190,vectornav,1266944425.45,0.0,0.0,0.0,-0.0895055904984,0.287029445171,-9.76660251617,0.00129926507361,-0.000420477008447,-0.00190995819867,0.0,0.0
2020/02/28/11:00:07.526898,369,1582909207,526841929,vectornav,1266944425.47,0.0,0.0,0.0,-0.106222756207,0.253204256296,-9.77447605133,-0.00135674665216,0.000617263838649,0.000868313014507,0.0,0.0
2020/02/28/11:00:07.546913,370,1582909207,546835539,vectornav,1266944425.49,0.0,0.0,0.0,-0.10416238755,0.24597068131,-9.75824069977,0.000488831254188,-0.000874520279467,0.00166525319219,0.0,0.0
2020/02/28/11:00:07.566839,371,1582909207,566789171,vectornav,1266944425.51,0.0,0.0,0.0,-0.111116670072,0.262361884117,-9.76046276093,0.000452553271316,0.00105793704279,-0.000495448708534,0.0,0.0
2020/02/28/11:00:07.586870,372,1582909207,586790146,vectornav,1266944425.53,0.0,0.0,0.0,-0.0941321328282,0.268670618534,-9.78712940216,0.000182035902981,-0.000713720684871,-0.000801040790975,0.0,0.0
2020/02/28/11:00:07.606873,373,1582909207,606809386,vectornav,1266944425.55,0.0,0.0,0.0,-0.0715663656592,0.272345691919,-9.81583309174,0.000890133786015,0.000384108163416,0.000369975343347,0.0,0.0
