time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Time,.Week,.Status,.RPY.x,.RPY.y,.RPY.z,.LLA.x,.LLA.y,.LLA.z,.NedVel.x,.NedVel.y,.NedVel.z,.YawUncertainty,.PitchUncertainty,.RollUncertainty,.PosUncertainty,.VelUncertainty,.SyncInTime,.SyncInCount
2020/02/28/11:00:07.347015,11375,1582909207,346921451,vectornav,1266944425.29,2094,33542,-1.57448160648,-0.633726716042,-163.423049927,30.6730807132,-96.3728974905,85.3986209123,-0.00825768336654,0.000308804214001,0.114940568805,1.10344302654,0.0859440639615,0.0858140662313,0.678157866001,0.100850515068,1582908092.53,0
2020/02/28/11:00:07.366873,11376,1582909207,366805582,vectornav,1266944425.31,2094,33542,-1.57507050037,-0.633514285088,-163.422943115,30.6730807116,-96.3728974911,85.3963759465,-0.00836273282766,0.000190600752831,0.115066662431,1.10362672806,0.0860429853201,0.0859130173922,0.67890304327,0.10110681504,1582908092.53,0
2020/02/28/11:00:07.386917,11377,1582909207,386852962,vectornav,1266944425.33,2094,33542,-1.57602369785,-0.633559703827,-163.42199707,30.6730807878,-96.3728975142,85.4264165313,-0.00858223810792,-0.00191919133067,0.110459446907,1.10392975807,0.0846868827939,0.0845547765493,0.669699966908,0.0974627509713,1582908092.53,0
2020/02/28/11:00:07.406905,11378,1582909207,406813709,vectornav,1266944425.35,2094,774,-1.57586026192,-0.63327652216,-163.421768188,30.6730807856,-96.3728975148,85.4242116379,-0.0086847692728,-0.00231014331803,0.110398694873,1.10417509079,0.0848180130124,0.084686294198,0.670642495155,0.097799308598,1582908092.53,0
2020/02/28/11:00:07.426851,11379,1582909207,426774697,vectornav,1266944425.37,2094,774,-1.57588362694,-0.633294701576,-163.421813965,30.6730807847,-96.3728975157,85.421998719,-0.00897619500756,-0.0027464623563,0.110645636916,1.10442054272,0.084949247539,0.0848175510764,0.671589851379,0.0981364250183,1582908092.53,0
2020/02/28/11:00:07.446849,11380,1582909207,446768214,vectornav,1266944425.39,2094,33542,-1.57641339302,-0.633288681507,-163.421585083,30.673080783,-96.372897516,85.4197859966,-0.00913927704096,-0.00314403930679,0.110604479909,1.10466611385,0.0850805789232,0.0849496498704,0.672542154789,0.0984743013978,1582908092.53,0
2020/02/28/11:00:07.466903,11381,1582909207,466789456,vectornav,1266944425.41,2094,33542,-1.57585203648,-0.634525299072,-163.421005249,30.6730807812,-96.3728975166,85.4175866598,-0.00916637852788,-0.00336802983657,0.110632993281,1.1049118042,0.0852119773626,0.0850809514523,0.673499405384,0.098812520504,1582908092.53,0
2020/02/28/11:00:07.486965,11382,1582909207,486844955,vectornav,1266944425.43,2094,33542,-1.57519805431,-0.634177029133,-163.420562744,30.6730807796,-96.3728975177,85.4153650776,-0.0091288946569,-0.00349545059726,0.111024230719,1.10515737534,0.085343465209,0.0852124243975,0.674461603165,0.099151365459,1582908092.53,0
2020/02/28/11:00:07.506818,11383,1582909207,506740819,vectornav,1266944425.45,2094,4870,-1.57469928265,-0.634102165699,-163.420852661,30.6730807773,-96.3728975187,85.4132125368,-0.00930934399366,-0.00379960238934,0.111368089914,1.10540294647,0.0854750350118,0.0853445380926,0.675428748131,0.0994905605912,1582908092.53,0
2020/02/28/11:00:07.526891,11384,1582909207,526790410,vectornav,1266944425.47,2094,4870,-1.57530272007,-0.634124040604,-163.420806885,30.6730807756,-96.3728975195,85.4109358984,-0.00950842350721,-0.00365456286818,0.111601270735,1.10564863682,0.0856066867709,0.0854763314128,0.676401019096,0.0998302251101,1582908092.53,0
2020/02/28/11:00:07.546906,11385,1582909207,546802529,vectornav,1266944425.49,2094,56070,-1.57446277142,-0.634307384491,-163.420074463,30.6730807747,-96.3728975208,85.408768563,-0.00963507592678,-0.00365852098912,0.112061351538,1.10589444637,0.0857383832335,0.0856081545353,0.677378296852,0.100170686841,1582908092.53,0
2020/02/28/11:00:07.566832,11386,1582909207,566756240,vectornav,1266944425.51,2094,56070,-1.57358622551,-0.633839488029,-163.419586182,30.6730807725,-96.3728975217,85.4064491272,-0.00981106981635,-0.00371830537915,0.112357348204,1.10614001751,0.0858701840043,0.0857404097915,0.678360641003,0.100511573255,1582908092.53,0
2020/02/28/11:00:07.586861,11387,1582909207,586757947,vectornav,1266944425.53,2094,56070,-1.57320463657,-0.634132683277,-163.418914795,30.6730808464,-96.3728974901,85.4366430522,-0.0100021734834,-0.00329555012286,0.108100369573,1.10638332367,0.0850088000298,0.0848775207996,0.670543909073,0.0981404259801,1582908092.53,0
2020/02/28/11:00:07.606865,11388,1582909207,606769781,vectornav,1266944425.55,2094,27398,-1.57263767719,-0.634184777737,-163.418670654,30.6730808451,-96.3728974911,85.4344302677,-0.0104019232094,-0.00341097498313,0.108294740319,1.10662913322,0.0851401612163,0.0850093066692,0.671493589878,0.0984785184264,1582908092.53,0
2020/02/28/11:00:07.626827,11389,1582909207,626713488,vectornav,1266944425.57,2094,27398,-1.57262885571,-0.634921312332,-163.418502808,30.673080843,-96.3728974922,85.4322472702,-0.0106330364943,-0.00338085042313,0.108499243855,1.10687494278,0.0852716490626,0.085140734911,0.672448217869,0.0988172143698,1582908092.53,0
2020/02/28/11:00:07.646833,11390,1582909207,646776183,vectornav,1266944425.59,2094,27398,-1.57208144665,-0.635134994984,-163.418212891,30.673080841,-96.372897493,85.4300771218,-0.01062977314,-0.00310587789863,0.108348160982,1.10712134838,0.0854031965137,0.0852728486061,0.673407793045,0.0991566702724,1582908092.53,0
2020/02/28/11:00:07.666868,11391,1582909207,666806451,vectornav,1266944425.61,2094,51974,-1.57223939896,-0.635198533535,-163.417495728,30.6730808396,-96.3728974937,85.4279838509,-0.0109227336943,-0.0033116787672,0.1081950441,1.10736727715,0.0855347663164,0.0854043513536,0.674372375011,0.0994968116283,1582908092.53,0
2020/02/28/11:00:07.686870,11392,1582909207,686781104,vectornav,1266944425.63,2094,51974,-1.57286584377,-0.635516643524,-163.4168396,30.6730808372,-96.3728974946,85.425737433,-0.0110106281936,-0.00318742403761,0.108508095145,1.10761332512,0.0856664553285,0.0855364874005,0.675342023373,0.0998373404145,1582908092.53,0
2020/02/28/11:00:07.706841,11393,1582909207,706771788,vectornav,1266944425.65,2094,31494,-1.57286691666,-0.635394215584,-163.416259766,30.6730808349,-96.3728974954,85.4236808587,-0.0112006925046,-0.00320312473923,0.108590602875,1.10785937309,0.0857982411981,0.0856682211161,0.676316738129,0.100178360939,1582908092.53,0
2020/02/28/11:00:07.726856,11394,1582909207,726750686,vectornav,1266944425.67,2094,31494,-1.57271850109,-0.635338544846,-163.41619873,30.673080833,-96.3728974962,85.4213938774,-0.011546716094,-0.0030749081634,0.108470574021,1.10810565948,0.0859301015735,0.0858002007008,0.677296578884,0.100520022213,1582908092.53,0
2020/02/28/11:00:07.746781,11395,1582909207,746725884,vectornav,1266944425.69,2094,31494,-1.57311272621,-0.635820329189,-163.416137695,30.673080831,-96.3728974961,85.4193024464,-0.011784452945,-0.00280704535544,0.108962610364,1.1083521843,0.0860620811582,0.0859326198697,0.678281545639,0.100862197578,1582908092.53,0
2020/02/28/11:00:07.766721,11396,1582909207,766656786,vectornav,1266944425.71,2094,45830,-1.5734449625,-0.636648178101,-163.415786743,30.6730808287,-96.3728974978,85.417045371,-0.0121417418122,-0.00286466255784,0.109059549868,1.1085985899,0.0861941277981,0.0860650241375,0.679271638393,0.10120472312,1582908092.53,0
2020/02/28/11:00:07.786895,11397,1582909207,786818422,vectornav,1266944425.73,2094,45830,-1.57348644733,-0.637144505978,-163.415588379,30.6730809144,-96.3728975178,85.4343972286,-0.0119325779378,-0.00455261440948,0.10695078969,1.10884165764,0.0851522311568,0.0850216597319,0.670962512493,0.0983979180455,1582908092.53,0
2020/02/28/11:00:07.806720,11398,1582909207,806657992,vectornav,1266944425.75,2094,29446,-1.5741802454,-0.637863278389,-163.415252686,30.6730809122,-96.3728975194,85.432229656,-0.0121817030013,-0.00461585586891,0.107611685991,1.10908794403,0.0852836668491,0.0851526781917,0.671914041042,0.0987368375063,1582908092.53,0
2020/02/28/11:00:07.826746,11399,1582909207,826672469,vectornav,1266944425.77,2094,29446,-1.57461440563,-0.637719810009,-163.415039062,30.6730809105,-96.3728975196,85.4300884632,-0.0122206620872,-0.00461519183591,0.107819363475,1.10933458805,0.0854152441025,0.0852849707007,0.672870516777,0.0990759655833,1582908092.53,0
2020/02/28/11:00:07.846774,11400,1582909207,846690830,vectornav,1266944425.79,2094,29446,-1.57431256771,-0.637908518314,-163.415496826,30.6730809082,-96.37289752,85.4279837619,-0.0122612044215,-0.00476422952488,0.10801653564,1.10958147049,0.0855468958616,0.0854165628552,0.673831999302,0.099415935576,1582908092.53,0
2020/02/28/11:00:07.866730,11401,1582909207,866664162,vectornav,1266944425.81,2094,39686,-1.57463717461,-0.637531042099,-163.414978027,30.673080906,-96.3728975216,85.4257570251,-0.0122777558863,-0.00510170916095,0.108102470636,1.1098279953,0.0856786370277,0.0855485573411,0.674798488617,0.0997567921877,1582908092.53,0
2020/02/28/11:00:07.886840,11402,1582909207,886718700,vectornav,1266944425.83,2094,39686,-1.57451379299,-0.637689769268,-163.415374756,30.6730809035,-96.3728975226,85.423582225,-0.0126347988844,-0.00534520484507,0.108235523105,1.11007452011,0.0858104079962,0.0856806263328,0.675770103931,0.100097775459,1582908092.53,0
2020/02/28/11:00:07.906734,11403,1582909207,906673715,vectornav,1266944425.85,2094,39686,-1.57393467426,-0.63874232769,-163.414550781,30.6730809014,-96.3728975242,85.4214235027,-0.0127859599888,-0.00560272345319,0.108553692698,1.11032116413,0.0859422981739,0.0858126059175,0.676746785641,0.10043951869,1582908092.53,0
