time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.enabled,.override_active,.command_output_fault,.input_output_fault,.output_reported_fault,.pacmod_fault,.vehicle_fault,.manual_input,.command,.output
2020/02/28/11:32:47.566127,14862,1582911167,565886818,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:47.566292,14863,1582911167,565995922,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:47.599009,14864,1582911167,598922519,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:47.632678,14865,1582911167,632622072,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:47.666396,14866,1582911167,666302835,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:47.699122,14867,1582911167,698995205,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:47.732903,14868,1582911167,732820390,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:47.766728,14869,1582911167,766667985,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:47.799372,14870,1582911167,799287615,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:47.833557,14871,1582911167,833463350,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:47.865760,14872,1582911167,865698402,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:47.900003,14873,1582911167,899945669,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:47.932820,14874,1582911167,932734973,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:47.966865,14875,1582911167,966788269,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.000265,14876,1582911168,143731,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.033785,14877,1582911168,33702458,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.067047,14878,1582911168,66987716,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.099851,14879,1582911168,99784316,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.134650,14880,1582911168,134558230,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.167573,14881,1582911168,167509334,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.201468,14882,1582911168,201409688,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.232803,14883,1582911168,232740308,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.267428,14884,1582911168,267377235,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.299577,14885,1582911168,299524439,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.333779,14886,1582911168,333680065,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.366351,14887,1582911168,366284944,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.400310,14888,1582911168,400248967,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.433362,14889,1582911168,433287429,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.466975,14890,1582911168,466918709,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.500743,14891,1582911168,500637684,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.534014,14892,1582911168,533916279,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.566865,14893,1582911168,566766798,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.600090,14894,1582911168,599975010,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.633795,14895,1582911168,633710551,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.667008,14896,1582911168,666929221,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.701540,14897,1582911168,701461036,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.734279,14898,1582911168,734200724,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.766949,14899,1582911168,766882503,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.800472,14900,1582911168,800384435,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.834373,14901,1582911168,834313131,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.868337,14902,1582911168,868271096,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.900904,14903,1582911168,900829392,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.934636,14904,1582911168,934552215,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:48.967387,14905,1582911168,967288354,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:49.001747,14906,1582911169,1624807,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:49.034484,14907,1582911169,34395025,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:49.067101,14908,1582911169,67043746,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:49.101026,14909,1582911169,100973446,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:49.133899,14910,1582911169,133816069,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
2020/02/28/11:32:49.167703,14911,1582911169,167619031,pacmod,False,False,False,False,False,False,False,-0.033,0.082,-0.033
