time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.current,.position
2020/02/28/11:32:47.601547,14864,1582911167,601438589,pacmod,0.134,2.248
2020/02/28/11:32:47.635761,14865,1582911167,635679752,pacmod,0.067,2.248
2020/02/28/11:32:47.668598,14866,1582911167,668529013,pacmod,0.252,2.248
2020/02/28/11:32:47.701191,14867,1582911167,701104807,pacmod,0.063,2.248
2020/02/28/11:32:47.734867,14868,1582911167,734822573,pacmod,0.131,2.248
2020/02/28/11:32:47.768837,14869,1582911167,768791692,pacmod,0.062,2.248
2020/02/28/11:32:47.801421,14870,1582911167,801365121,pacmod,0.063,2.248
2020/02/28/11:32:47.835756,14871,1582911167,835674974,pacmod,-0.063,2.248
2020/02/28/11:32:47.868228,14872,1582911167,868145141,pacmod,0.138,2.248
2020/02/28/11:32:47.902077,14873,1582911167,902030309,pacmod,0.195,2.248
2020/02/28/11:32:47.934971,14874,1582911167,934920167,pacmod,-0.057,2.248
2020/02/28/11:32:47.968842,14875,1582911167,968799046,pacmod,0.202,2.248
2020/02/28/11:32:48.002214,14876,1582911168,2171147,pacmod,0.062,2.248
2020/02/28/11:32:48.035745,14877,1582911168,35692795,pacmod,0.067,2.248
2020/02/28/11:32:48.069127,14878,1582911168,69044898,pacmod,0.064,2.248
2020/02/28/11:32:48.101981,14879,1582911168,101865808,pacmod,0.133,2.248
2020/02/28/11:32:48.136626,14880,1582911168,136564430,pacmod,0.193,2.248
2020/02/28/11:32:48.169575,14881,1582911168,169524647,pacmod,0.004,2.248
2020/02/28/11:32:48.203536,14882,1582911168,203464441,pacmod,0.127,2.248
2020/02/28/11:32:48.235818,14883,1582911168,235761183,pacmod,0.318,2.248
2020/02/28/11:32:48.270487,14884,1582911168,270433137,pacmod,0.191,2.248
2020/02/28/11:32:48.301886,14885,1582911168,301828810,pacmod,0.133,2.248
2020/02/28/11:32:48.335719,14886,1582911168,335660150,pacmod,0.0,2.248
2020/02/28/11:32:48.368728,14887,1582911168,368686727,pacmod,0.072,2.248
2020/02/28/11:32:48.402511,14888,1582911168,402423161,pacmod,0.197,2.248
2020/02/28/11:32:48.435496,14889,1582911168,435380008,pacmod,0.068,2.248
2020/02/28/11:32:48.469034,14890,1582911168,468982719,pacmod,0.129,2.248
2020/02/28/11:32:48.502827,14891,1582911168,502747262,pacmod,0.066,2.248
2020/02/28/11:32:48.536305,14892,1582911168,536200230,pacmod,-0.056,2.248
2020/02/28/11:32:48.569001,14893,1582911168,568906272,pacmod,0.131,2.248
2020/02/28/11:32:48.602212,14894,1582911168,602110073,pacmod,0.128,2.248
2020/02/28/11:32:48.635938,14895,1582911168,635863444,pacmod,0.073,2.248
2020/02/28/11:32:48.669022,14896,1582911168,668968893,pacmod,0.069,2.248
2020/02/28/11:32:48.703611,14897,1582911168,703514085,pacmod,0.446,2.248
2020/02/28/11:32:48.736408,14898,1582911168,736326658,pacmod,0.195,2.248
2020/02/28/11:32:48.768983,14899,1582911168,768935948,pacmod,0.252,2.248
2020/02/28/11:32:48.802771,14900,1582911168,802688729,pacmod,0.062,2.248
2020/02/28/11:32:48.836640,14901,1582911168,836591049,pacmod,0.126,2.248
2020/02/28/11:32:48.870455,14902,1582911168,870373818,pacmod,0.006,2.248
2020/02/28/11:32:48.903006,14903,1582911168,902919389,pacmod,-0.058,2.248
2020/02/28/11:32:48.936800,14904,1582911168,936732976,pacmod,0.066,2.248
2020/02/28/11:32:48.969480,14905,1582911168,969408981,pacmod,-0.007,2.248
2020/02/28/11:32:49.003794,14906,1582911169,3666500,pacmod,0.003,2.248
2020/02/28/11:32:49.036815,14907,1582911169,36764131,pacmod,0.0,2.248
2020/02/28/11:32:49.069246,14908,1582911169,69187091,pacmod,0.059,2.248
2020/02/28/11:32:49.103180,14909,1582911169,103122820,pacmod,0.067,2.248
2020/02/28/11:32:49.135928,14910,1582911169,135870504,pacmod,0.003,2.248
2020/02/28/11:32:49.169785,14911,1582911169,169735932,pacmod,0.068,2.248
2020/02/28/11:32:49.202725,14912,1582911169,202648953,pacmod,0.072,2.248
2020/02/28/11:32:49.236804,14913,1582911169,236734016,pacmod,0.255,2.248
2020/02/28/11:32:49.270675,14914,1582911169,270595420,pacmod,0.002,2.248
2020/02/28/11:32:49.303335,14915,1582911169,303275630,pacmod,0.003,2.248
2020/02/28/11:32:49.336477,14916,1582911169,336417784,pacmod,0.064,2.248
2020/02/28/11:32:49.370128,14917,1582911169,370037473,pacmod,0.003,2.248
2020/02/28/11:32:49.403708,14918,1582911169,403671558,pacmod,0.194,2.248
2020/02/28/11:32:49.436741,14919,1582911169,436695654,pacmod,0.127,2.248
2020/02/28/11:32:49.470788,14920,1582911169,470744439,pacmod,0.131,2.248
2020/02/28/11:32:49.504372,14921,1582911169,504331777,pacmod,0.131,2.248
2020/02/28/11:32:49.537221,14922,1582911169,537172577,pacmod,0.003,2.248
2020/02/28/11:32:49.570726,14923,1582911169,570677055,pacmod,0.256,2.248
2020/02/28/11:32:49.604936,14924,1582911169,604875859,pacmod,0.005,2.248
2020/02/28/11:32:49.637980,14925,1582911169,637918350,pacmod,0.064,2.248
2020/02/28/11:32:49.671006,14926,1582911169,670943874,pacmod,0.128,2.248
2020/02/28/11:32:49.703725,14927,1582911169,703649761,pacmod,0.07,2.248
2020/02/28/11:32:49.738154,14928,1582911169,738084138,pacmod,0.006,2.248
2020/02/28/11:32:49.771394,14929,1582911169,771314713,pacmod,0.07,2.248
2020/02/28/11:32:49.805139,14930,1582911169,805073492,pacmod,0.0,2.248
2020/02/28/11:32:49.839144,14931,1582911169,839044211,pacmod,0.003,2.248
2020/02/28/11:32:49.870889,14932,1582911169,870803104,pacmod,0.327,2.248
2020/02/28/11:32:49.904420,14933,1582911169,904351972,pacmod,-0.056,2.248
2020/02/28/11:32:49.938344,14934,1582911169,938251358,pacmod,0.256,2.248
2020/02/28/11:32:49.970882,14935,1582911169,970811456,pacmod,0.191,2.248
2020/02/28/11:32:50.006599,14936,1582911170,6472690,pacmod,0.126,2.248
2020/02/28/11:32:50.037357,14937,1582911170,37304321,pacmod,0.13,2.248
2020/02/28/11:32:50.072806,14938,1582911170,72641019,pacmod,0.0,2.248
2020/02/28/11:32:50.104600,14939,1582911170,104502567,pacmod,-0.424,2.248
2020/02/28/11:32:50.138608,14940,1582911170,138519700,pacmod,0.055,2.248
2020/02/28/11:32:50.171717,14941,1582911170,171621039,pacmod,0.24,2.249
2020/02/28/11:32:50.205829,14942,1582911170,205784265,pacmod,0.361,2.249
2020/02/28/11:32:50.238737,14943,1582911170,238659695,pacmod,0.559,2.25
2020/02/28/11:32:50.272465,14944,1582911170,272397196,pacmod,0.6,2.255
2020/02/28/11:32:50.305810,14945,1582911170,305760578,pacmod,0.553,2.256
2020/02/28/11:32:50.339058,14946,1582911170,338966496,pacmod,0.81,2.256
2020/02/28/11:32:50.372459,14947,1582911170,372323025,pacmod,0.843,2.257
2020/02/28/11:32:50.405306,14948,1582911170,405257444,pacmod,0.952,2.259
2020/02/28/11:32:50.438486,14949,1582911170,438411385,pacmod,1.267,2.262
2020/02/28/11:32:50.472567,14950,1582911170,472517383,pacmod,1.022,2.265
2020/02/28/11:32:50.506033,14951,1582911170,505904369,pacmod,0.955,2.265
2020/02/28/11:32:50.538928,14952,1582911170,538875908,pacmod,0.771,2.265
2020/02/28/11:32:50.573088,14953,1582911170,572965803,pacmod,0.557,2.265
2020/02/28/11:32:50.606070,14954,1582911170,605964565,pacmod,1.073,2.266
2020/02/28/11:32:50.639750,14955,1582911170,639700456,pacmod,1.16,2.267
2020/02/28/11:32:50.673091,14956,1582911170,672999223,pacmod,1.014,2.267
2020/02/28/11:32:50.706828,14957,1582911170,706754442,pacmod,0.617,2.267
2020/02/28/11:32:50.739670,14958,1582911170,739578072,pacmod,0.282,2.266
2020/02/28/11:32:50.773707,14959,1582911170,773645076,pacmod,0.745,2.266
2020/02/28/11:32:50.807731,14960,1582911170,807679953,pacmod,1.044,2.267
2020/02/28/11:32:50.840611,14961,1582911170,840540434,pacmod,1.167,2.268
2020/02/28/11:32:50.873120,14962,1582911170,873070965,pacmod,0.914,2.268
2020/02/28/11:32:50.907613,14963,1582911170,907533946,pacmod,0.509,2.268
2020/02/28/11:32:50.940644,14964,1582911170,940598197,pacmod,0.509,2.267
2020/02/28/11:32:50.973804,14965,1582911170,973754466,pacmod,0.749,2.267
2020/02/28/11:32:51.006981,14966,1582911171,6900294,pacmod,0.983,2.268
2020/02/28/11:32:51.040525,14967,1582911171,40476214,pacmod,1.168,2.268
2020/02/28/11:32:51.074186,14968,1582911171,74134367,pacmod,1.1,2.268
2020/02/28/11:32:51.107735,14969,1582911171,107642790,pacmod,0.932,2.268
2020/02/28/11:32:51.141144,14970,1582911171,141059951,pacmod,1.226,2.268
2020/02/28/11:32:51.174796,14971,1582911171,174734557,pacmod,1.404,2.269
2020/02/28/11:32:51.207641,14972,1582911171,207589143,pacmod,1.294,2.27
2020/02/28/11:32:51.241352,14973,1582911171,241283336,pacmod,1.175,2.272
2020/02/28/11:32:51.275126,14974,1582911171,275045167,pacmod,1.316,2.274
2020/02/28/11:32:51.307911,14975,1582911171,307864534,pacmod,1.282,2.275
2020/02/28/11:32:51.341965,14976,1582911171,341892542,pacmod,1.099,2.275
2020/02/28/11:32:51.375362,14977,1582911171,375304640,pacmod,1.189,2.276
2020/02/28/11:32:51.408864,14978,1582911171,408791260,pacmod,0.941,2.276
2020/02/28/11:32:51.440732,14979,1582911171,440663596,pacmod,1.236,2.276
2020/02/28/11:32:51.473580,14980,1582911171,473499965,pacmod,1.213,2.276
2020/02/28/11:32:51.507269,14981,1582911171,507225878,pacmod,1.066,2.278
2020/02/28/11:32:51.541217,14982,1582911171,541115047,pacmod,1.109,2.279
2020/02/28/11:32:51.574983,14983,1582911171,574938972,pacmod,1.352,2.28
2020/02/28/11:32:51.607799,14984,1582911171,607751167,pacmod,1.372,2.283
2020/02/28/11:32:51.641624,14985,1582911171,641559102,pacmod,1.383,2.287
2020/02/28/11:32:51.674358,14986,1582911171,674263662,pacmod,1.232,2.29
2020/02/28/11:32:51.708198,14987,1582911171,708140867,pacmod,1.344,2.296
2020/02/28/11:32:51.741378,14988,1582911171,741331982,pacmod,1.477,2.302
2020/02/28/11:32:51.775065,14989,1582911171,775017986,pacmod,1.359,2.309
2020/02/28/11:32:51.807709,14990,1582911171,807653828,pacmod,1.298,2.315
2020/02/28/11:32:51.841816,14991,1582911171,841687418,pacmod,1.151,2.32
2020/02/28/11:32:51.874635,14992,1582911171,874588182,pacmod,1.126,2.326
2020/02/28/11:32:51.908050,14993,1582911171,907975032,pacmod,1.137,2.33
2020/02/28/11:32:51.942098,14994,1582911171,942048455,pacmod,1.242,2.332
2020/02/28/11:32:51.975560,14995,1582911171,975407273,pacmod,1.009,2.333
2020/02/28/11:32:52.008923,14996,1582911172,8796967,pacmod,0.76,2.333
2020/02/28/11:32:52.042007,14997,1582911172,41912438,pacmod,0.761,2.333
2020/02/28/11:32:52.075705,14998,1582911172,75654161,pacmod,0.64,2.333
2020/02/28/11:32:52.108502,14999,1582911172,108379197,pacmod,1.002,2.333
2020/02/28/11:32:52.141817,15000,1582911172,141722884,pacmod,1.002,2.333
2020/02/28/11:32:52.175715,15001,1582911172,175626045,pacmod,1.002,2.333
2020/02/28/11:32:52.208229,15002,1582911172,208179526,pacmod,0.759,2.333
2020/02/28/11:32:52.242521,15003,1582911172,242479426,pacmod,0.822,2.333
2020/02/28/11:32:52.274951,15004,1582911172,274899035,pacmod,0.761,2.333
2020/02/28/11:32:52.308796,15005,1582911172,308745133,pacmod,0.821,2.333
2020/02/28/11:32:52.341666,15006,1582911172,341589296,pacmod,0.995,2.333
2020/02/28/11:32:52.375596,15007,1582911172,375531882,pacmod,0.881,2.333
2020/02/28/11:32:52.408267,15008,1582911172,408185443,pacmod,0.943,2.333
2020/02/28/11:32:52.442175,15009,1582911172,442095626,pacmod,0.697,2.333
2020/02/28/11:32:52.475127,15010,1582911172,475068913,pacmod,0.881,2.333
2020/02/28/11:32:52.508922,15011,1582911172,508842383,pacmod,1.002,2.333
2020/02/28/11:32:52.542701,15012,1582911172,542643415,pacmod,0.642,2.333
2020/02/28/11:32:52.575714,15013,1582911172,575669666,pacmod,0.82,2.333
2020/02/28/11:32:52.609538,15014,1582911172,609482664,pacmod,0.822,2.333
2020/02/28/11:32:52.643123,15015,1582911172,643037918,pacmod,0.875,2.333
2020/02/28/11:32:52.675503,15016,1582911172,675452556,pacmod,0.699,2.333
2020/02/28/11:32:52.710305,15017,1582911172,710178106,pacmod,0.521,2.333
2020/02/28/11:32:52.742782,15018,1582911172,742691584,pacmod,0.881,2.333
2020/02/28/11:32:52.776324,15019,1582911172,776260297,pacmod,0.823,2.333
2020/02/28/11:32:52.810024,15020,1582911172,809964437,pacmod,1.121,2.333
2020/02/28/11:32:52.843886,15021,1582911172,843792911,pacmod,0.82,2.333
2020/02/28/11:32:52.876724,15022,1582911172,876667916,pacmod,0.94,2.333
2020/02/28/11:32:52.908736,15023,1582911172,908689225,pacmod,0.82,2.333
2020/02/28/11:32:52.942370,15024,1582911172,942277801,pacmod,0.641,2.333
2020/02/28/11:32:52.976016,15025,1582911172,975948523,pacmod,0.817,2.333
2020/02/28/11:32:53.009143,15026,1582911173,9093163,pacmod,0.758,2.333
2020/02/28/11:32:53.043879,15027,1582911173,43778093,pacmod,0.825,2.333
2020/02/28/11:32:53.076447,15028,1582911173,76391055,pacmod,1.121,2.333
2020/02/28/11:32:53.109674,15029,1582911173,109553113,pacmod,1.423,2.333
2020/02/28/11:32:53.144431,15030,1582911173,144343004,pacmod,0.941,2.333
2020/02/28/11:32:53.177035,15031,1582911173,176968023,pacmod,0.879,2.333
2020/02/28/11:32:53.209976,15032,1582911173,209871432,pacmod,0.761,2.333
2020/02/28/11:32:53.243791,15033,1582911173,243729755,pacmod,0.759,2.333
2020/02/28/11:32:53.277596,15034,1582911173,277518914,pacmod,0.881,2.333
2020/02/28/11:32:53.310364,15035,1582911173,310313482,pacmod,1.0,2.333
2020/02/28/11:32:53.344229,15036,1582911173,344141080,pacmod,0.88,2.333
2020/02/28/11:32:53.376878,15037,1582911173,376776054,pacmod,0.94,2.333
2020/02/28/11:32:53.410625,15038,1582911173,410512700,pacmod,0.94,2.334
2020/02/28/11:32:53.443291,15039,1582911173,443243502,pacmod,0.989,2.335
2020/02/28/11:32:53.477506,15040,1582911173,477461707,pacmod,1.293,2.335
2020/02/28/11:32:53.511466,15041,1582911173,511379879,pacmod,1.252,2.336
2020/02/28/11:32:53.543728,15042,1582911173,543617604,pacmod,1.013,2.336
2020/02/28/11:32:53.577051,15043,1582911173,576994422,pacmod,1.143,2.336
2020/02/28/11:32:53.610865,15044,1582911173,610792400,pacmod,0.947,2.337
2020/02/28/11:32:53.643622,15045,1582911173,643569190,pacmod,0.96,2.337
2020/02/28/11:32:53.678288,15046,1582911173,678240973,pacmod,1.012,2.337
2020/02/28/11:32:53.710479,15047,1582911173,710417195,pacmod,1.409,2.337
2020/02/28/11:32:53.743827,15048,1582911173,743764788,pacmod,1.133,2.338
2020/02/28/11:32:53.777832,15049,1582911173,777768067,pacmod,0.724,2.337
2020/02/28/11:32:53.811488,15050,1582911173,811358913,pacmod,0.592,2.337
2020/02/28/11:32:53.844620,15051,1582911173,844543096,pacmod,0.497,2.337
2020/02/28/11:32:53.877329,15052,1582911173,877205119,pacmod,0.508,2.338
2020/02/28/11:32:53.911476,15053,1582911173,911384499,pacmod,0.792,2.338
2020/02/28/11:32:53.944685,15054,1582911173,944629583,pacmod,0.574,2.338
2020/02/28/11:32:53.977702,15055,1582911173,977637921,pacmod,-0.013,2.337
2020/02/28/11:32:54.011546,15056,1582911174,11473949,pacmod,0.076,2.335
2020/02/28/11:32:54.044390,15057,1582911174,44300719,pacmod,0.251,2.334
2020/02/28/11:32:54.077423,15058,1582911174,77378168,pacmod,0.181,2.333
2020/02/28/11:32:54.111516,15059,1582911174,111453622,pacmod,0.11,2.332
2020/02/28/11:32:54.145670,15060,1582911174,145567347,pacmod,0.048,2.328
2020/02/28/11:32:54.178945,15061,1582911174,178874305,pacmod,0.221,2.327
2020/02/28/11:32:54.212443,15062,1582911174,212351783,pacmod,-0.067,2.327
2020/02/28/11:32:54.244672,15063,1582911174,244588129,pacmod,-0.125,2.327
2020/02/28/11:32:54.278425,15064,1582911174,278367775,pacmod,0.008,2.327
2020/02/28/11:32:54.312717,15065,1582911174,312636185,pacmod,-0.018,2.327
2020/02/28/11:32:54.345194,15066,1582911174,345105251,pacmod,0.081,2.327
2020/02/28/11:32:54.379846,15067,1582911174,379792128,pacmod,0.041,2.325
2020/02/28/11:32:54.412054,15068,1582911174,411998125,pacmod,-0.031,2.324
2020/02/28/11:32:54.445806,15069,1582911174,445742748,pacmod,0.033,2.323
2020/02/28/11:32:54.478343,15070,1582911174,478275910,pacmod,0.001,2.322
2020/02/28/11:32:54.512136,15071,1582911174,512087937,pacmod,0.032,2.322
2020/02/28/11:32:54.544964,15072,1582911174,544883850,pacmod,-0.054,2.321
2020/02/28/11:32:54.578847,15073,1582911174,578802089,pacmod,-0.047,2.32
2020/02/28/11:32:54.612043,15074,1582911174,611973906,pacmod,-0.042,2.318
2020/02/28/11:32:54.644685,15075,1582911174,644638191,pacmod,0.003,2.312
2020/02/28/11:32:54.678603,15076,1582911174,678529245,pacmod,-0.121,2.305
2020/02/28/11:32:54.711478,15077,1582911174,711418268,pacmod,-0.152,2.299
2020/02/28/11:32:54.745254,15078,1582911174,745124314,pacmod,-0.242,2.293
2020/02/28/11:32:54.779034,15079,1582911174,778966746,pacmod,0.016,2.287
2020/02/28/11:32:54.812184,15080,1582911174,812095506,pacmod,-0.067,2.284
2020/02/28/11:32:54.845387,15081,1582911174,845337798,pacmod,0.228,2.282
2020/02/28/11:32:54.878510,15082,1582911174,878463603,pacmod,-0.198,2.281
2020/02/28/11:32:54.912340,15083,1582911174,912281189,pacmod,-0.377,2.276
2020/02/28/11:32:54.946257,15084,1582911174,946213380,pacmod,-0.344,2.265
2020/02/28/11:32:54.979957,15085,1582911174,979898528,pacmod,-0.523,2.255
2020/02/28/11:32:55.012954,15086,1582911175,12862404,pacmod,-0.293,2.234
2020/02/28/11:32:55.046298,15087,1582911175,46213476,pacmod,-0.777,2.21
2020/02/28/11:32:55.081065,15088,1582911175,80979482,pacmod,-1.134,2.191
2020/02/28/11:32:55.113701,15089,1582911175,113647920,pacmod,-0.881,2.168
2020/02/28/11:32:55.146399,15090,1582911175,146344149,pacmod,-0.936,2.151
2020/02/28/11:32:55.180113,15091,1582911175,180068252,pacmod,-0.946,2.128
2020/02/28/11:32:55.214053,15092,1582911175,213971367,pacmod,-0.807,2.108
2020/02/28/11:32:55.246881,15093,1582911175,246821780,pacmod,-0.651,2.095
2020/02/28/11:32:55.280703,15094,1582911175,280589368,pacmod,-0.408,2.081
2020/02/28/11:32:55.313971,15095,1582911175,313898209,pacmod,-0.448,2.069
2020/02/28/11:32:55.347155,15096,1582911175,347103938,pacmod,-0.201,2.06
2020/02/28/11:32:55.381170,15097,1582911175,381082478,pacmod,-0.431,2.045
2020/02/28/11:32:55.414571,15098,1582911175,414489517,pacmod,-0.392,2.028
2020/02/28/11:32:55.447852,15099,1582911175,447791385,pacmod,-0.1,2.012
2020/02/28/11:32:55.480517,15100,1582911175,480428803,pacmod,-1.457,1.993
2020/02/28/11:32:55.514374,15101,1582911175,514304325,pacmod,-0.423,1.977
2020/02/28/11:32:55.547402,15102,1582911175,547346859,pacmod,-0.557,1.961
