time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.encoder_temp,.motor_temp,.angular_velocity
2020/02/28/11:32:47.602491,14864,1582911167,602444706,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:47.635800,14865,1582911167,635742894,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:47.669612,14866,1582911167,669557994,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:47.702195,14867,1582911167,702142820,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:47.735886,14868,1582911167,735841396,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:47.769936,14869,1582911167,769879454,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:47.802504,14870,1582911167,802454701,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:47.836748,14871,1582911167,836685256,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:47.869219,14872,1582911167,869129962,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:47.903152,14873,1582911167,903069619,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:47.935986,14874,1582911167,935945410,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:47.969906,14875,1582911167,969856603,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.002236,14876,1582911168,2179740,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.036799,14877,1582911168,36756195,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.070141,14878,1582911168,70080428,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.102948,14879,1582911168,102869378,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.136637,14880,1582911168,136572483,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.170603,14881,1582911168,170554757,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.203542,14882,1582911168,203474236,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.235873,14883,1582911168,235777966,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.270572,14884,1582911168,270442603,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.302907,14885,1582911168,302859907,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.335724,14886,1582911168,335667181,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.369791,14887,1582911168,369724324,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.403408,14888,1582911168,403356348,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.436467,14889,1582911168,436413599,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.470051,14890,1582911168,469999672,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.503853,14891,1582911168,503799689,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.537293,14892,1582911168,537238169,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.569989,14893,1582911168,569892483,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.603132,14894,1582911168,603065283,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.636907,14895,1582911168,636861144,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.670051,14896,1582911168,669993844,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.704684,14897,1582911168,704606610,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.737357,14898,1582911168,737311513,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.770065,14899,1582911168,770000794,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.803756,14900,1582911168,803705901,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.837643,14901,1582911168,837541721,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.871484,14902,1582911168,871414359,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.904047,14903,1582911168,903978485,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.937859,14904,1582911168,937746855,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:48.970550,14905,1582911168,970464770,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.004819,14906,1582911169,4731673,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.037857,14907,1582911169,37783707,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.070264,14908,1582911169,70197218,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.104251,14909,1582911169,104163590,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.136987,14910,1582911169,136900858,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.170838,14911,1582911169,170764981,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.203743,14912,1582911169,203672427,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.237849,14913,1582911169,237758794,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.271808,14914,1582911169,271703963,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.304314,14915,1582911169,304253374,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.337552,14916,1582911169,337473344,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.371205,14917,1582911169,371139818,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.404746,14918,1582911169,404691557,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.437824,14919,1582911169,437731239,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.471795,14920,1582911169,471738942,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.505380,14921,1582911169,505324943,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.538321,14922,1582911169,538232869,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.570744,14923,1582911169,570684581,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.604960,14924,1582911169,604884533,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.637996,14925,1582911169,637927312,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.671995,14926,1582911169,671916933,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.704801,14927,1582911169,704712329,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.738163,14928,1582911169,738092864,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.771399,14929,1582911169,771323631,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.805145,14930,1582911169,805081360,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.839151,14931,1582911169,839052727,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.871954,14932,1582911169,871905809,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.905405,14933,1582911169,905357369,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.939375,14934,1582911169,939291072,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:49.971932,14935,1582911169,971841171,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.006613,14936,1582911170,6480335,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.038408,14937,1582911170,38336313,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.073640,14938,1582911170,73579638,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.105580,14939,1582911170,105502940,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.139589,14940,1582911170,139522878,pacmod,-40.0,15.0,1207959.551
2020/02/28/11:32:50.172775,14941,1582911170,172706655,pacmod,-40.0,15.0,1207959.551
2020/02/28/11:32:50.206849,14942,1582911170,206798735,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.239712,14943,1582911170,239649469,pacmod,-40.0,15.0,1207959.551
2020/02/28/11:32:50.273496,14944,1582911170,273433018,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.306842,14945,1582911170,306791507,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.340013,14946,1582911170,339951554,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.373349,14947,1582911170,373287447,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.406424,14948,1582911170,406336530,pacmod,-40.0,15.0,1207959.551
2020/02/28/11:32:50.439539,14949,1582911170,439415484,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.473562,14950,1582911170,473505470,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.506963,14951,1582911170,506900327,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.540001,14952,1582911170,539952439,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.574050,14953,1582911170,573986981,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.606994,14954,1582911170,606929391,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.640755,14955,1582911170,640699182,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.674009,14956,1582911170,673955115,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.707899,14957,1582911170,707827804,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.740629,14958,1582911170,740576315,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.774791,14959,1582911170,774720565,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.808754,14960,1582911170,808685987,pacmod,-40.0,15.0,1207959.551
2020/02/28/11:32:50.841719,14961,1582911170,841632910,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.874187,14962,1582911170,874118920,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.907620,14963,1582911170,907540954,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.941615,14964,1582911170,941554380,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:50.974867,14965,1582911170,974812796,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:51.007955,14966,1582911171,7902386,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:51.041549,14967,1582911171,41499850,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:51.074208,14968,1582911171,74141775,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:51.108724,14969,1582911171,108659252,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:51.142131,14970,1582911171,142079835,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:51.174812,14971,1582911171,174741690,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:51.207652,14972,1582911171,207596370,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:51.241373,14973,1582911171,241300677,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:51.275127,14974,1582911171,275051519,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:51.307931,14975,1582911171,307873733,pacmod,-40.0,15.0,0.0
2020/02/28/11:32:51.341970,14976,1582911171,341900612,pacmod,-40.0,15.0,0.0
