time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.torque_output,.torque_input
2020/02/28/11:32:47.602551,14864,1582911167,602454761,pacmod,0.0,0.1
2020/02/28/11:32:47.635816,14865,1582911167,635749524,pacmod,0.0,0.107
2020/02/28/11:32:47.669616,14866,1582911167,669564423,pacmod,0.0,0.107
2020/02/28/11:32:47.702272,14867,1582911167,702209833,pacmod,0.0,0.1
2020/02/28/11:32:47.735911,14868,1582911167,735849108,pacmod,0.0,0.107
2020/02/28/11:32:47.769943,14869,1582911167,769887059,pacmod,0.0,0.1
2020/02/28/11:32:47.802520,14870,1582911167,802462120,pacmod,0.0,0.107
2020/02/28/11:32:47.836753,14871,1582911167,836694078,pacmod,0.0,0.113
2020/02/28/11:32:47.869223,14872,1582911167,869137707,pacmod,0.0,0.107
2020/02/28/11:32:47.903152,14873,1582911167,903078951,pacmod,0.0,0.107
2020/02/28/11:32:47.936032,14874,1582911167,935950975,pacmod,0.0,0.1
2020/02/28/11:32:47.969911,14875,1582911167,969861819,pacmod,0.0,0.107
2020/02/28/11:32:48.003295,14876,1582911168,3221973,pacmod,0.0,0.1
2020/02/28/11:32:48.036825,14877,1582911168,36764569,pacmod,0.0,0.107
2020/02/28/11:32:48.070142,14878,1582911168,70088132,pacmod,0.0,0.107
2020/02/28/11:32:48.102953,14879,1582911168,102877597,pacmod,0.0,0.113
2020/02/28/11:32:48.137759,14880,1582911168,137649708,pacmod,0.0,0.107
2020/02/28/11:32:48.170635,14881,1582911168,170566472,pacmod,0.0,0.107
2020/02/28/11:32:48.204580,14882,1582911168,204489970,pacmod,0.0,0.113
2020/02/28/11:32:48.236844,14883,1582911168,236799828,pacmod,0.0,0.1
2020/02/28/11:32:48.271578,14884,1582911168,271488589,pacmod,0.0,0.107
2020/02/28/11:32:48.302932,14885,1582911168,302866188,pacmod,0.0,0.1
2020/02/28/11:32:48.336718,14886,1582911168,336679498,pacmod,0.0,0.107
2020/02/28/11:32:48.369796,14887,1582911168,369729248,pacmod,0.0,0.107
2020/02/28/11:32:48.403411,14888,1582911168,403362452,pacmod,0.0,0.113
2020/02/28/11:32:48.436471,14889,1582911168,436420778,pacmod,0.0,0.107
2020/02/28/11:32:48.470078,14890,1582911168,470007344,pacmod,0.0,0.107
2020/02/28/11:32:48.503866,14891,1582911168,503805937,pacmod,0.0,0.107
2020/02/28/11:32:48.537304,14892,1582911168,537244643,pacmod,0.0,0.107
2020/02/28/11:32:48.569994,14893,1582911168,569899402,pacmod,0.0,0.107
2020/02/28/11:32:48.603137,14894,1582911168,603074505,pacmod,0.0,0.113
2020/02/28/11:32:48.636922,14895,1582911168,636868949,pacmod,0.0,0.1
2020/02/28/11:32:48.670056,14896,1582911168,670000755,pacmod,0.0,0.113
2020/02/28/11:32:48.704690,14897,1582911168,704614155,pacmod,0.0,0.113
2020/02/28/11:32:48.737378,14898,1582911168,737319456,pacmod,0.0,0.113
2020/02/28/11:32:48.770071,14899,1582911168,770007363,pacmod,0.0,0.113
2020/02/28/11:32:48.803763,14900,1582911168,803714462,pacmod,0.0,0.107
2020/02/28/11:32:48.837647,14901,1582911168,837551396,pacmod,0.0,0.1
2020/02/28/11:32:48.871500,14902,1582911168,871437960,pacmod,0.0,0.107
2020/02/28/11:32:48.904063,14903,1582911168,903989211,pacmod,0.0,0.107
2020/02/28/11:32:48.937866,14904,1582911168,937757387,pacmod,0.0,0.113
2020/02/28/11:32:48.970558,14905,1582911168,970473715,pacmod,0.0,0.113
2020/02/28/11:32:49.004825,14906,1582911169,4740272,pacmod,0.0,0.107
2020/02/28/11:32:49.037861,14907,1582911169,37790202,pacmod,0.0,0.107
2020/02/28/11:32:49.070271,14908,1582911169,70204986,pacmod,0.0,0.113
2020/02/28/11:32:49.104261,14909,1582911169,104185821,pacmod,0.0,0.113
2020/02/28/11:32:49.136987,14910,1582911169,136909156,pacmod,0.0,0.107
2020/02/28/11:32:49.171777,14911,1582911169,171724327,pacmod,0.0,0.107
2020/02/28/11:32:49.203749,14912,1582911169,203681006,pacmod,0.0,0.107
2020/02/28/11:32:49.237853,14913,1582911169,237769520,pacmod,0.0,0.107
2020/02/28/11:32:49.271819,14914,1582911169,271726453,pacmod,0.0,0.113
2020/02/28/11:32:49.304322,14915,1582911169,304261482,pacmod,0.0,0.107
2020/02/28/11:32:49.337572,14916,1582911169,337488353,pacmod,0.0,0.107
2020/02/28/11:32:49.371210,14917,1582911169,371151113,pacmod,0.0,0.107
2020/02/28/11:32:49.404773,14918,1582911169,404700080,pacmod,0.0,0.113
2020/02/28/11:32:49.437830,14919,1582911169,437763676,pacmod,0.0,0.113
2020/02/28/11:32:49.471801,14920,1582911169,471747067,pacmod,0.0,0.107
2020/02/28/11:32:49.505399,14921,1582911169,505338823,pacmod,0.0,0.1
2020/02/28/11:32:49.538325,14922,1582911169,538239155,pacmod,0.0,0.132
2020/02/28/11:32:49.571785,14923,1582911169,571740474,pacmod,0.0,0.139
2020/02/28/11:32:49.606014,14924,1582911169,605893018,pacmod,0.0,0.126
2020/02/28/11:32:49.638988,14925,1582911169,638941605,pacmod,0.0,0.1
2020/02/28/11:32:49.672000,14926,1582911169,671925668,pacmod,0.0,0.126
2020/02/28/11:32:49.704808,14927,1582911169,704718733,pacmod,0.0,-0.033
2020/02/28/11:32:49.739138,14928,1582911169,739091467,pacmod,0.0,-0.443
2020/02/28/11:32:49.772392,14929,1582911169,772345403,pacmod,0.0,-0.623
2020/02/28/11:32:49.806130,14930,1582911169,806080973,pacmod,0.0,-0.469
2020/02/28/11:32:49.840140,14931,1582911169,840057085,pacmod,0.0,-0.45
2020/02/28/11:32:49.871971,14932,1582911169,871913091,pacmod,0.0,-0.552
2020/02/28/11:32:49.905411,14933,1582911169,905364909,pacmod,0.0,-0.757
2020/02/28/11:32:49.939379,14934,1582911169,939302239,pacmod,0.0,-0.886
2020/02/28/11:32:49.971934,14935,1582911169,971848307,pacmod,0.0,-0.866
2020/02/28/11:32:50.006617,14936,1582911170,6485457,pacmod,0.0,-0.828
2020/02/28/11:32:50.038425,14937,1582911170,38348923,pacmod,0.0,-0.777
2020/02/28/11:32:50.073678,14938,1582911170,73592036,pacmod,0.0,-0.854
2020/02/28/11:32:50.105584,14939,1582911170,105509664,pacmod,0.0,-0.956
2020/02/28/11:32:50.139631,14940,1582911170,139530897,pacmod,-0.212,-1.033
2020/02/28/11:32:50.172793,14941,1582911170,172717904,pacmod,-0.417,-1.059
2020/02/28/11:32:50.206885,14942,1582911170,206807699,pacmod,-0.566,-1.078
2020/02/28/11:32:50.239719,14943,1582911170,239656222,pacmod,-1.348,-1.161
2020/02/28/11:32:50.273501,14944,1582911170,273441196,pacmod,-1.22,-1.033
2020/02/28/11:32:50.306845,14945,1582911170,306796950,pacmod,-0.976,-1.136
2020/02/28/11:32:50.340016,14946,1582911170,339959570,pacmod,-1.247,-1.174
2020/02/28/11:32:50.373354,14947,1582911170,373294542,pacmod,-1.219,-1.174
2020/02/28/11:32:50.406430,14948,1582911170,406347851,pacmod,-1.458,-1.219
2020/02/28/11:32:50.439546,14949,1582911170,439420490,pacmod,-1.727,-1.257
2020/02/28/11:32:50.473600,14950,1582911170,473512773,pacmod,-1.632,-1.232
