time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2019/02/01/15:55:50.504177,7398,0,0,,0,0,30.6243841068,-96.3364299139,71.6171617843,"(0.0, 0.7558674812316895, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.524088,7399,0,0,,0,0,30.6243841055,-96.3364299115,71.6196921391,"(0.0, 0.7567315697669983, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.544239,7400,0,0,,0,0,30.6243840986,-96.3364299224,71.6007970377,"(0.0, 0.7576003670692444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.564231,7401,0,0,,0,0,30.6243840974,-96.3364299216,71.6032077359,"(0.0, 0.7512878775596619, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.584463,7402,0,0,,0,0,30.6243840965,-96.3364299191,71.605686455,"(0.0, 0.7521308064460754, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.604098,7403,0,0,,0,0,30.6243840955,-96.3364299163,71.6081943567,"(0.0, 0.7529783844947815, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.624108,7404,0,0,,0,0,30.624384094,-96.3364299145,71.6106526027,"(0.0, 0.7538307309150696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.644130,7405,0,0,,0,0,30.6243840937,-96.3364299116,71.6130889091,"(0.0, 0.7546878457069397, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.664000,7406,0,0,,0,0,30.6243840922,-96.3364299098,71.6156468653,"(0.0, 0.7555498480796814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.685000,7407,0,0,,0,0,30.6243840915,-96.336429908,71.6180999205,"(0.0, 0.7564165592193604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.703924,7408,0,0,,0,0,30.6243840905,-96.3364299052,71.6205988155,"(0.0, 0.7572881579399109, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.724203,7409,0,0,,0,0,30.6243840888,-96.3364299032,71.623133629,"(0.0, 0.7581647634506226, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.743750,7410,0,0,,0,0,30.624384088,-96.3364299003,71.6256407966,"(0.0, 0.7590463161468506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.763769,7411,0,0,,0,0,30.6243840797,-96.3364299435,71.6023496008,"(0.0, 0.7506672739982605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.783708,7412,0,0,,0,0,30.6243840786,-96.3364299425,71.6047768021,"(0.0, 0.7514984011650085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.803773,7413,0,0,,0,0,30.6243840778,-96.3364299408,71.6072137542,"(0.0, 0.7523341178894043, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.823802,7414,0,0,,0,0,30.6243840766,-96.3364299388,71.6096823774,"(0.0, 0.7531744837760925, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.843623,7415,0,0,,0,0,30.6243840758,-96.3364299377,71.6120777875,"(0.0, 0.7540196180343628, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.863806,7416,0,0,,0,0,30.6243840745,-96.336429935,71.6145835053,"(0.0, 0.754869282245636, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.883599,7417,0,0,,0,0,30.6243840737,-96.3364299339,71.6169562477,"(0.0, 0.755723774433136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.903573,7418,0,0,,0,0,30.6243840723,-96.3364299317,71.6195151135,"(0.0, 0.7565829753875732, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.923521,7419,0,0,,0,0,30.6243840711,-96.3364299298,71.6219973441,"(0.0, 0.7574470043182373, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.943445,7420,0,0,,0,0,30.6243840249,-96.3364299081,71.6049914695,"(0.0, 0.7494914531707764, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.963522,7421,0,0,,0,0,30.6243840239,-96.3364299071,71.6074397833,"(0.0, 0.7503106594085693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:50.983384,7422,0,0,,0,0,30.6243840221,-96.3364299051,71.609920117,"(0.0, 0.7511342763900757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.003381,7423,0,0,,0,0,30.6243840209,-96.3364299035,71.6123580913,"(0.0, 0.751962423324585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
