time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Time,.UtcTime.year,.UtcTime.month,.UtcTime.day,.UtcTime.hour,.UtcTime.minute,.UtcTime.second,.UtcTime.millisecond,.Week,.GpsFix,.NumSats,.LLA.x,.LLA.y,.LLA.z,.NedVel.x,.NedVel.y,.NedVel.z,.NedAcc.x,.NedAcc.y,.NedAcc.z,.SpeedAcc,.TimeAcc
2019/02/01/15:55:50.503700,1625,1549058150,503506810,gps,510968.600376,19,2,1,21,55,50,600,2038,3,16,30.6243881,-96.3364253,72.965,-0.00300000002608,-0.0130000002682,0.0540000014007,2.55377626419,2.36191034317,6.11911010742,0.194400012493,4.40000000879e-08
2019/02/01/15:55:50.523699,1626,1549058150,523485681,gps,510968.600376,19,2,1,21,55,50,600,2038,3,16,30.6243881,-96.3364253,72.965,-0.00300000002608,-0.0130000002682,0.0540000014007,2.55377626419,2.36191034317,6.11911010742,0.194400012493,4.40000000879e-08
2019/02/01/15:55:50.543566,1627,1549058150,543436337,gps,510968.800376,19,2,1,21,55,50,800,2038,3,16,30.6243881,-96.3364253,72.97,-0.00800000037998,-0.00400000018999,0.0529999993742,2.55436968803,2.36260128021,6.12721395493,0.200800016522,4.40000000879e-08
2019/02/01/15:55:50.563740,1628,1549058150,563539064,gps,510968.800376,19,2,1,21,55,50,800,2038,3,16,30.6243881,-96.3364253,72.97,-0.00800000037998,-0.00400000018999,0.0529999993742,2.55436968803,2.36260128021,6.12721395493,0.200800016522,4.40000000879e-08
2019/02/01/15:55:50.584417,1629,1549058150,583474158,gps,510968.800376,19,2,1,21,55,50,800,2038,3,16,30.6243881,-96.3364253,72.97,-0.00800000037998,-0.00400000018999,0.0529999993742,2.55436968803,2.36260128021,6.12721395493,0.200800016522,4.40000000879e-08
2019/02/01/15:55:50.603677,1630,1549058150,603466228,gps,510968.800376,19,2,1,21,55,50,800,2038,3,16,30.6243881,-96.3364253,72.97,-0.00800000037998,-0.00400000018999,0.0529999993742,2.55436968803,2.36260128021,6.12721395493,0.200800016522,4.40000000879e-08
2019/02/01/15:55:50.623658,1631,1549058150,623530853,gps,510968.800376,19,2,1,21,55,50,800,2038,3,16,30.6243881,-96.3364253,72.97,-0.00800000037998,-0.00400000018999,0.0529999993742,2.55436968803,2.36260128021,6.12721395493,0.200800016522,4.40000000879e-08
2019/02/01/15:55:50.643547,1632,1549058150,643368155,gps,510968.800376,19,2,1,21,55,50,800,2038,3,16,30.6243881,-96.3364253,72.97,-0.00800000037998,-0.00400000018999,0.0529999993742,2.55436968803,2.36260128021,6.12721395493,0.200800016522,4.40000000879e-08
2019/02/01/15:55:50.663513,1633,1549058150,663324122,gps,510968.800376,19,2,1,21,55,50,800,2038,3,16,30.6243881,-96.3364253,72.97,-0.00800000037998,-0.00400000018999,0.0529999993742,2.55436968803,2.36260128021,6.12721395493,0.200800016522,4.40000000879e-08
2019/02/01/15:55:50.684841,1634,1549058150,683433577,gps,510968.800376,19,2,1,21,55,50,800,2038,3,16,30.6243881,-96.3364253,72.97,-0.00800000037998,-0.00400000018999,0.0529999993742,2.55436968803,2.36260128021,6.12721395493,0.200800016522,4.40000000879e-08
